704614062	20171107	201711	2017	2017.8411	ARMGOV	ARMENIA	ARM					GOV			GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	10	1	10	0.97799511002445	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	20171107111500	https://armenpress.am/eng/news/911593/president-sargsyan-holds-meeting-with-adb-vice-president.html
704614063	20171107	201711	2017	2017.8411	ARMGOV	YEREVAN	ARM					GOV			GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	10	1	10	0.97799511002445	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	20171107111500	https://armenpress.am/eng/news/911593/president-sargsyan-holds-meeting-with-adb-vice-president.html
704614064	20171107	201711	2017	2017.8411	ARMGOV	ARMENIA	ARM					GOV			GOV	PRESIDENT						GOV			1	046	046	04	1	7.0	13	1	10	0.97799511002445	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	20171107111500	https://armenpress.am/eng/news/911593/president-sargsyan-holds-meeting-with-adb-vice-president.html
704614065	20171107	201711	2017	2017.8411	ARMGOV	ARMENIA	ARM					GOV			IGOASADEVADBGOV	ASIAN DEVELOPMENT BANK	ASA	ADB				IGO	DEV	GOV	1	046	046	04	1	7.0	3	1	3	0.97799511002445	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	4	Yerevan, Yerevan*, Armenia	AM	AM11	4936	40.1811	44.5136	-2325645	20171107111500	https://armenpress.am/eng/news/911593/president-sargsyan-holds-meeting-with-adb-vice-president.html
704614066	20171107	201711	2017	2017.8411	ATG	ANTIGUA	ATG																		0	043	043	04	1	2.8	10	1	10	-0.23310023310024	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	0								1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	20171107111500	https://antiguaobserver.com/asot-meets-the-pm-visits-ablp-colleagues/
704614067	20171107	201711	2017	2017.8411	ATG	ANTIGUA AND BARBUDA	ATG								AGR	FARMER						AGR			0	114	114	11	3	-2.0	10	1	10	-0.32258064516129	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	20171107111500	https://antiguaobserver.com/residents-encouraged-to-look-beyond-cost-after-styrofoam-ban/
704614068	20171107	201711	2017	2017.8411	ATGELI	LESTER BIRD	ATG					ELI													1	120	120	12	3	-4.0	10	1	10	1.75	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	0								1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	20171107111500	https://antiguaobserver.com/who-will-be-the-new-faces-on-ablp-slate/
704614069	20171107	201711	2017	2017.8411	AUS	AUSTRALIA	AUS																		1	030	030	03	1	4.0	6	1	6	2.25563909774436	4	Double Bay, New South Wales, Australia	AS	AS02	5086	-33.9985	151.068	11395003	0								4	Double Bay, New South Wales, Australia	AS	AS02	5086	-33.9985	151.068	11395003	20171107111500	http://elle.in/culture/a-fashion-editors-guide-to-the-staycation-instagram-checklist/
704614070	20171107	201711	2017	2017.8411	AUS	VICTORIA	AUS																		1	111	111	11	3	-2.0	6	1	6	7.03125	4	Mooi River, KwaZulu-Natal, South Africa	SF	SF02	77332	-29.2082	29.9946	-1262366	0								4	Mooi River, KwaZulu-Natal, South Africa	SF	SF02	77332	-29.2082	29.9946	-1262366	20171107111500	http://www.express.co.uk/life-style/life/876476/Victoria-Secret-Candice-Swanepoel-Model-Instagram
704614071	20171107	201711	2017	2017.8411	AUS	VICTORIA	AUS								CHN	SHANGHAI	CHN								1	020	020	02	1	3.0	6	1	6	7.03125	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171107111500	http://www.express.co.uk/life-style/life/876476/Victoria-Secret-Candice-Swanepoel-Model-Instagram
704614072	20171107	201711	2017	2017.8411	AUS	VICTORIA	AUS								CHN	CHINA	CHN								1	111	111	11	3	-2.0	4	1	4	7.03125	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Mooi River, KwaZulu-Natal, South Africa	SF	SF02	77332	-29.2082	29.9946	-1262366	20171107111500	http://www.express.co.uk/life-style/life/876476/Victoria-Secret-Candice-Swanepoel-Model-Instagram
704614073	20171107	201711	2017	2017.8411	AUS	SYDNEY	AUS								EDUEDU	SCHOOL						EDU	EDU		1	190	190	19	4	-10.0	2	1	2	-7.93650793650794	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171107111500	https://www.newkerala.com/news/fullnews-286220.html
704614074	20171107	201711	2017	2017.8411	AUS	AUSTRALIA	AUS								PNGJUD	PAPUA NEW GUINEA	PNG					JUD			1	013	013	01	1	0.4	2	1	2	-6.90376569037657	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Manus Island, Manus, Papua New Guinea	PP	PP13	18585	-2.0729	146.937	-2194904	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171107111500	http://www.egypttoday.com/Article/2/31355/PNG-court-rejects-bid-to-restore-Australia-refugee-camp-services
704614075	20171107	201711	2017	2017.8411	AUSEDU	SYDNEY	AUS					EDU			EDUEDU	SCHOOL						EDU	EDU		1	190	190	19	4	-10.0	6	1	6	-7.93650793650794	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171107111500	https://www.newkerala.com/news/fullnews-286220.html
704614076	20171107	201711	2017	2017.8411	AUSJUD	AUSTRALIA	AUS					JUD			PNGJUD	PAPUA NEW GUINEA	PNG					JUD			1	013	013	01	1	0.4	2	1	2	-6.90376569037657	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Manus Island, Manus, Papua New Guinea	PP	PP13	18585	-2.0729	146.937	-2194904	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171107111500	http://www.egypttoday.com/Article/2/31355/PNG-court-rejects-bid-to-restore-Australia-refugee-camp-services
704614077	20171107	201711	2017	2017.8411	BEL	BELGIUM	BEL																		1	051	051	05	1	3.4	1	1	1	3.1496062992126	1	Belgium	BE	BE		50.833333	4	BE	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171107111500	https://www.newkerala.com/news/fullnews-286224.html
704614078	20171107	201711	2017	2017.8411	BGD	BANGLADESH	BGD								MMR	MYANMAR	MMR								0	043	043	04	1	2.8	6	1	6	-3.1055900621118	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	20171107111500	http://www.unhcr.org/5a0192138.html
704614079	20171107	201711	2017	2017.8411	BGD	BANGLADESH	BGD								MMR	MYANMAR	MMR								0	043	043	04	1	2.8	2	1	2	-3.1055900621118	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	20171107111500	http://www.unhcr.org/5a0192138.html
704614080	20171107	201711	2017	2017.8411	BGD	BANGLADESH	BGD								MMR	MYANMAR	MMR								0	043	043	04	1	2.8	2	1	2	-3.1055900621118	4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	4	Teknaf, Chittagong, Bangladesh	BG	BG84	5772	20.8624	92.3058	-2737993	4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	20171107111500	http://www.unhcr.org/5a0192138.html
704614081	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								BGRLEG	SOFIA	BGR					LEG			1	021	021	02	1	3.4	8	1	8	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614082	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								BGRLEG	BULGARIA	BGR					LEG			1	021	021	02	1	3.4	2	1	2	3.67892976588629	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614083	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								BGRLEG	SOFIA	BGR					LEG			1	057	057	05	1	8.0	8	1	8	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614084	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								BGRLEG	BULGARIA	BGR					LEG			1	057	057	05	1	8.0	2	1	2	3.67892976588629	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614085	20171107	201711	2017	2017.8411	BGR	BULGARIAN	BGR								LEG	PARLIAMENT						LEG			1	020	020	02	1	3.0	14	1	10	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614086	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								LEG	NATIONAL ASSEMBLY						LEG			0	057	057	05	1	8.0	8	1	8	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614087	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								LEG	NATIONAL ASSEMBLY						LEG			0	057	057	05	1	8.0	2	1	2	3.67892976588629	1	United States	US	US		39.828175	-98.5795	US	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614088	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								MED	NEWS AGENCY						MED			1	013	013	01	1	0.4	4	1	4	0.4424778761062	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	http://www.focus-fen.net/news/2017/11/07/424775/nimh-mostly-sunny-till-noon-later-clouds-to-increase-from-west.html
704614089	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								MKD	MACEDONIA	MKD								1	051	051	05	1	3.4	8	1	8	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614090	20171107	201711	2017	2017.8411	BGR	BULGARIA	BGR								MKD	MACEDONIA	MKD								1	051	051	05	1	3.4	2	1	2	3.67892976588629	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614091	20171107	201711	2017	2017.8411	BGR	BULGARIAN	BGR								MKD	MACEDONIA	MKD								1	057	057	05	1	8.0	8	1	4	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614092	20171107	201711	2017	2017.8411	BGRGOV	BULGARIAN	BGR					GOV			LEG	PARLIAMENT						LEG			1	020	020	02	1	3.0	6	1	6	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614093	20171107	201711	2017	2017.8411	BGRGOV	BULGARIAN	BGR					GOV			MKD	MACEDONIA	MKD								1	057	057	05	1	8.0	6	1	6	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614094	20171107	201711	2017	2017.8411	BGRGOV	BULGARIAN	BGR					GOV			MKD	MACEDONIA	MKD								1	057	057	05	1	8.0	6	1	6	3.67892976588629	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	4	Skopje, Macedonia (general), Macedonia	MK	MK00	27270	42	21.4333	-95841	20171107111500	https://sofiaglobe.com/2017/11/07/bulgarian-government-asks-parliament-to-ratify-good-neighbourliness-treaty-with-macedonia/
704614095	20171107	201711	2017	2017.8411	BHR	BAHRAIN	BHR								GOV	KINGDOM						GOV			1	042	042	04	1	1.9	2	1	2	0.526315789473686	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171107111500	http://www.arabianbusiness.com/industries/retail/382952-bahrain-set-to-see-734m-retail-space-boom-by-2020
704614096	20171107	201711	2017	2017.8411	BRB	BARBADOS	BRB																		1	110	110	11	3	-2.0	4	1	4	-1.34228187919463	1	Barbados	BB	BB		13.166667	-59.533333	BB	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	20171107111500	https://antiguaobserver.com/half-centuries-for-lewis-samuels-in-contrasting-results/
704614097	20171107	201711	2017	2017.8411	BRN	BRUNEI	BRN								MIL	MILITARY						MIL			1	043	043	04	1	2.8	4	1	4	-1.72413793103449	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	20171107111500	http://news.abs-cbn.com/news/11/07/17/palace-unfazed-by-chinas-magic-island-maker
704614098	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													1	010	010	01	1	0.0	15	1	10	0.43604651162791	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171107111500	http://www.sharenet.co.za/v3/sens_display.php?tdate=20171107123000&seq=35
704614099	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													1	010	010	01	1	0.0	10	1	10	-3.57142857142858	4	Indore, Madhya Pradesh, India	IN	IN35	17729	22.7167	75.8333	-2097803	0								4	Indore, Madhya Pradesh, India	IN	IN35	17729	22.7167	75.8333	-2097803	20171107111500	http://www.sify.com/finance/lupin-dives-to-near-4-year-lows-on-fda-warnings-news-sensex-rlhotOigciife.html
704614100	20171107	201711	2017	2017.8411	BUS	BANK						BUS													1	010	010	01	1	0.0	5	1	5	-2.10970464135021	3	Montgomery County, Ohio, United States	US	USOH	OH113	39.7503	-84.2999	1074069	0								3	Montgomery County, Ohio, United States	US	USOH		39.7503	-84.2999	1074069	20171107111500	http://wdtn.com/2017/11/07/election-day-arrives-in-ohio/
704614101	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													0	010	010	01	1	0.0	5	1	5	0.297324083250742	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	0								2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20171107111500	https://www.dailypolitical.com/2017/11/07/tiaa-cref-investment-management-llc-has-1-40-million-position-in-heritage-insurance-holdings-inc-hrtg.html
704614102	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													1	011	011	01	1	-0.1	10	1	10	0	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171107111500	http://www.deccanherald.com/content/641496/srinivas-likely-succeed-sikka-infy.html
704614103	20171107	201711	2017	2017.8411	BUS	INDUSTRY						BUS													1	020	020	02	1	3.0	10	1	10	2.90697674418605	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171107111500	https://www.businessoffashion.com/careers/jobs/creative/united-arab-emirates/level-shoes/senior-graphic-designer-14
704614104	20171107	201711	2017	2017.8411	BUS	BOSS						BUS													1	022	022	02	1	3.2	10	1	10	0.26246719160105	1	Brazil	BR	BR		-10	-55	BR	0								1	Brazil	BR	BR		-10	-55	BR	20171107111500	https://www.graphic.com.gh/business/business-news/sada-boss-urges-support-for-agric-in-savanna-zone.html
704614105	20171107	201711	2017	2017.8411	BUS	AIRLINE						BUS													1	036	036	03	1	4.0	10	1	10	0.47619047619047	4	Reykjavik, (IC10), Iceland	IC	IC10	17529	64.15	-21.95	-2651804	0								4	Reykjavik, (IC10), Iceland	IC	IC10	17529	64.15	-21.95	-2651804	20171107111500	https://www.her.ie/news/april-wow-air-will-flying-dublin-jfk-e130-373571
704614106	20171107	201711	2017	2017.8411	BUS	COMPANIES						BUS													1	040	040	04	1	1.0	10	1	10	0.16025641025641	4	Boikhutso, North-West, South Africa	SF	SF10	77350	-26.1803	26.1344	-1212835	0								4	Boikhutso, North-West, South Africa	SF	SF10	77350	-26.1803	26.1344	-1212835	20171107111500	http://www.sharenet.co.za/v3/sens_display.php?tdate=20171107120000&seq=33
704614107	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													1	042	042	04	1	1.9	10	1	10	0	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171107111500	http://www.deccanherald.com/content/641496/srinivas-likely-succeed-sikka-infy.html
704614108	20171107	201711	2017	2017.8411	BUS	ENTREPRENEUR						BUS													1	042	042	04	1	1.9	6	1	6	3.36081166772353	4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	0								4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	20171107111500	http://www.growthbusiness.co.uk/serial-entrepreneur-jerry-brand-foundation-2552849/
704614109	20171107	201711	2017	2017.8411	BUS	COMPANIES						BUS													0	042	042	04	1	1.9	5	1	5	0.7035175879397	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								1	Japan	JA	JA		36	138	JA	20171107111500	https://www.openpr.com/news/805353/Rapid-Advancements-will-boost-Mono-DiGlycerides-Market-Size-Further-2017-2025.html
704614110	20171107	201711	2017	2017.8411	BUS	BANK						BUS													1	043	043	04	1	2.8	10	1	10	-0.41407867494824	4	Sanchi, Madhya Pradesh, India	IN	IN35	17755	23.4833	77.7333	-2110124	0								4	Sanchi, Madhya Pradesh, India	IN	IN35	17755	23.4833	77.7333	-2110124	20171107111500	http://www.moneycontrol.com/news/india/one-year-of-demonetisation-weve-said-goodbye-to-two-notes-and-hello-to-four-2423511.html
704614111	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													0	055	055	05	1	7.0	10	1	10	-6.25	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	0								4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20171107111500	https://coconuts.co/bali/news/bali-prosecutors-demand-six-months-aussie-walked-off-gucci-sunglasses-airport/
704614112	20171107	201711	2017	2017.8411	BUS	BANK						BUS													0	071	071	07	2	7.4	4	1	4	0	4	Brookfield, Nova Scotia, Canada	CA	CA07	12627	45.25	-63.2833	-561700	0								1	India	IN	IN		20	77	IN	20171107111500	https://telecom.economictimes.indiatimes.com/news/rcom-says-it-is-renegotiating-deal-with-brookfield/61543081
704614113	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													0	071	071	07	2	7.4	3	1	3	2.4330900243309	1	Malaysia	MY	MY		2.5	112.5	MY	0								1	Malaysia	MY	MY		2.5	112.5	MY	20171107111500	http://www.finsmes.com/2017/11/ripio-credit-network-token-sale-reaches-37m.html
704614114	20171107	201711	2017	2017.8411	BUS	ENTREPRENEUR						BUS													0	110	110	11	3	-2.0	5	1	5	3.36081166772353	4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	0								4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	20171107111500	http://www.growthbusiness.co.uk/serial-entrepreneur-jerry-brand-foundation-2552849/
704614115	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS													1	110	110	11	3	-2.0	2	1	2	0.43668122270743	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20171107111500	https://www.msn.com/en-us/finance/companies/chinas-xiaomi-seeks-to-reignite-global-push-with-spain-launch/ar-AAuxb8U
704614116	20171107	201711	2017	2017.8411	BUS	BUSINESS						BUS													1	192	192	19	4	-9.5	10	1	10	3.36081166772353	4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	0								4	Catford, Lewisham, United Kingdom	UK	UKH6	40133	51.45	-0.016667	-2592086	20171107111500	http://www.growthbusiness.co.uk/serial-entrepreneur-jerry-brand-foundation-2552849/
704614117	20171107	201711	2017	2017.8411	BUS	INVESTOR						BUS			AFR	AFRICA	AFR								1	020	020	02	1	3.0	10	1	10	-2.06185567010309	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	20171107111500	https://www.cemnet.com/News/story/162804/fund-manager-gains-veto-control-over-ppc.html
704614118	20171107	201711	2017	2017.8411	BUS	BUSINESS						BUS			AFR	AFRICA	AFR								0	111	111	11	3	-2.0	4	1	4	3.2258064516129	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20171107111500	http://www.comunicati.net/comunicati/aziende/moda/458552.html
704614119	20171107	201711	2017	2017.8411	BUS	BUSINESS						BUS			BUSSPY	BUSINESS						BUS	SPY		1	090	090	09	2	-2.0	10	1	10	0.15873015873016	0								0								0								20171107111500	http://www.cityam.com/274959/boost-visibility-your-mobile-app
704614120	20171107	201711	2017	2017.8411	BUS	COMPANIES						BUS			CHN	HANGZHOU	CHN								0	042	042	04	1	1.9	5	1	5	0.7035175879397	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171107111500	https://www.openpr.com/news/805353/Rapid-Advancements-will-boost-Mono-DiGlycerides-Market-Size-Further-2017-2025.html
704614121	20171107	201711	2017	2017.8411	BUS	COMPANY						BUS			CHN	CHINA	CHN								1	071	071	07	2	7.4	1	1	1	0.12836970474968	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171107111500	https://www.openpr.com/news/805373/Trends-Forecasts-on-Dental-Device-with-Focus-on-Digital-Dentistry-Market-Size-2017-2021.html
